AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
29,3,3,6.18,554.22,33.64,19.03,100,61,841241,1,1
29,4,4,8.4,43.49,50.95,28.31,100,61,887832,1,12
11,3,3,3.85,117.08,21.9,14.61,100,62,2464467,2,11
11,3,2,6.83,143.95,38.03,25.93,100,62,3389379,1,11
11,4,4,6.21,193.57,47.9,28.94,100,62,7529623,1,1
4,4,4,5.35,159.23,31.8,19.82,500,63,723492,1,7
16,4,2,0.55,40.5,7.02,5.74,100,64,1264415,0,4
16,4,4,0.77,3530.3,7.99,5.78,100,64,1350655,0,6
16,4,3,0.67,48.94,7.41,5.24,100,64,1607888,0,6
16,4,2,1.07,21.3,9.28,5.71,100,64,168174,0,8
16,4,3,1.43,35.56,10.02,5.9,100,64,271287,0,8
16,5,3,0.57,4997.93,7.29,5.94,100,64,3366734,0,4
16,3,2,0.61,1413.05,7.72,5.72,100,64,408692,0,4
16,0,3,0.54,1308.62,6.7,5.59,100,64,537304,0,2
16,4,3,0.8,61.31,7.85,5.74,100,64,581097,0,6
16,3,1,1.01,27.98,9.12,5.0,100,64,77946,0,0
16,4,1,0.5,3148.83,6.88,5.46,100,64,948909,0,4
16,4,4,0.6,4226.77,7.56,6.21,1000,64,2823485,0,4
14,2,5,0.55,30.27,7.73,6.31,500,65,1736172,2,2
2,4,4,0.81,26.14,8.41,6.17,100,66,19460,0,8
2,3,2,2.3,28.92,11.21,6.18,100,66,30682,2,8
2,0,3,0.51,17.73,7.62,5.95,100,66,557838,2,2
2,4,4,0.75,15.96,7.75,5.68,100,66,577039,0,6
2,4,4,0.6,1346.37,7.59,6.2,1000,66,1558307,0,4
2,0,0,1.51,1180.41,11.45,0.0,1000,66,3872,0,6
2,4,3,0.7,20.03,7.73,5.96,1000,66,43683,0,8
2,3,4,1.41,24.16,10.71,6.01,1000,66,50357,0,6
2,0,0,0.57,11.45,7.2,0.0,1000,66,54336,3,4
2,4,4,0.57,2908.22,7.34,5.88,1000,66,55991,0,4
2,4,0,0.69,28.88,7.67,5.62,1000,66,912074,0,6
2,5,5,0.57,2751.49,7.37,6.04,500,66,288081,0,6
2,4,0,0.53,2529.52,6.84,5.51,500,66,288081,0,6
2,4,0,0.57,2726.6,7.34,5.88,5000,66,55991,0,4
2,4,0,0.69,28.54,7.63,5.61,5000,66,912074,0,6
16,0,0,8.19,10.61,0.0,0.0,100,67,239467,1,11
16,0,4,5.33,21.43,64.66,20.85,100,67,34081,3,3
31,0,3,0.53,1291.67,6.71,5.59,500,68,24545,0,2
31,0,2,0.54,13.34,7.66,5.74,500,68,24928,2,2
13,0,5,4.43,30.87,47.26,24.44,100,69,1463,3,7
1,3,0,3.97,484.99,50.34,24.82,100,70,160043,1,11
1,0,0,4.92,15.36,0.0,0.0,100,70,166631,1,11
